x,y,baseline,residual
0.0,14.692307472229004,14.993711186560637,-0.3014037143316326
1.0,14.692307472229004,14.987910491971276,-0.29560301974227166
2.0,14.692307472229004,14.982109797381915,-0.2898023251529107
3.0,14.649999618530273,14.976309102792554,-0.32630948426228024
4.0,14.5625,14.970508408203193,-0.40800840820319273
5.0,14.55555534362793,14.964707713613832,-0.4091523699859021
6.0,14.5,14.95890701902447,-0.45890701902447084
7.0,14.5,14.95310632443511,-0.4531063244351099
8.0,14.5,14.947305629845749,-0.44730562984574895
9.0,14.5,14.941504935256388,-0.441504935256388
10.0,14.5,14.935704240667027,-0.43570424066702707
11.0,14.552631378173828,14.929903546077666,-0.377272167903838
12.0,14.55555534362793,14.924102851488305,-0.3685475078603755
13.0,14.5625,14.918302156898944,-0.35580215689894423
14.0,14.67391300201416,14.912501462309583,-0.23858846029542313
15.0,14.80434799194336,14.906700767720222,-0.10235277577686297
16.0,14.958333015441895,14.900900073130861,0.05743294231103313
17.0,15.071428298950195,14.8950993785415,0.17632892040869486
18.0,15.078947067260742,14.88929868395214,0.18964838330860267
19.0,15.090909004211426,14.883497989362779,0.2074110148486472
20.0,15.100000381469727,14.877697294773418,0.22230308669630894
21.0,15.100000381469727,14.871896600184057,0.22810378128566988
22.0,15.100000381469727,14.866095905594694,0.2339044758750326
23.0,15.100000381469727,14.860295211005333,0.23970517046439355
24.0,15.078947067260742,14.854494516415972,0.22445255084477012
25.0,15.071428298950195,14.848693821826611,0.22273447712358418
26.0,15.045454978942871,14.84289312723725,0.2025618517056209
27.0,15.041666984558105,14.83709243264789,0.20457455191021623
28.0,15.02173900604248,14.831291738058528,0.19044726798395217
29.0,15.0,14.825491043469167,0.17450895653083265
30.0,14.973684310913086,14.819690348879806,0.15399396203327953
31.0,14.949999809265137,14.813889654290445,0.13611015497469126
32.0,14.949999809265137,14.808088959701085,0.1419108495640522
33.0,14.949999809265137,14.802288265111724,0.14771154415341314
34.0,14.949999809265137,14.796487570522363,0.1535122387427741
35.0,14.949999809265137,14.790686875933002,0.15931293333213503
36.0,14.949999809265137,14.78488618134364,0.16511362792149598
37.0,14.88888931274414,14.77908548675428,0.10980382598986083
38.0,14.875,14.773284792164919,0.10171520783508115
39.0,14.868420600891113,14.767484097575558,0.10093650331555537
40.0,14.785714149475098,14.761683402986197,0.02403074648890069
41.0,14.785714149475098,14.755882708396836,0.029831441078261633
42.0,14.785714149475098,14.750082013807475,0.03563213566762258
43.0,14.785714149475098,14.744281319218114,0.04143283025698352
44.0,14.785714149475098,14.738480624628753,0.047233524846344466
45.0,14.785714149475098,14.732679930039392,0.05303421943570541
46.0,15.05555534362793,14.726879235450031,0.3286761081778984
47.0,15.05555534362793,14.72107854086067,0.33447680276725933
48.0,15.05555534362793,14.71527784627131,0.3402774973566203
49.0,15.05555534362793,14.709477151681948,0.3460781919459812
50.0,15.05555534362793,14.703676457092588,0.35187888653534216
51.0,15.05555534362793,14.697875762503227,0.3576795811247031
52.0,14.966666221618652,14.692075067913866,0.2745911537047867
53.0,14.714285850524902,14.686274373324505,0.02801147720039765
54.0,14.5,14.680473678735144,-0.18047367873514375
55.0,14.40625,14.674672984145783,-0.2684229841457828
56.0,14.399999618530273,14.668872289556422,-0.2688726710261484
57.0,14.384614944458008,14.663071594967061,-0.2784566505090531
58.0,14.378787994384766,14.6572709003777,-0.27848290599293435
59.0,14.378787994384766,14.651470205788339,-0.2726822114035734
60.0,14.375,14.645669511198978,-0.2706695111989781
61.0,14.36111068725586,14.639868816609617,-0.27875812935375777
62.0,14.36111068725586,14.634068122020256,-0.2729574347643968
63.0,14.36111068725586,14.628267427430895,-0.2671567401750359
64.0,14.357142448425293,14.622466732841534,-0.26532428441624134
65.0,14.357142448425293,14.616666038252173,-0.2595235898268804
66.0,14.323529243469238,14.610865343662812,-0.28733610019357414
67.0,14.3125,14.605064649073451,-0.2925646490734515
68.0,14.3125,14.599263954484089,-0.28676395448408876
69.0,14.3125,14.593463259894728,-0.2809632598947278
70.0,14.3125,14.587662565305367,-0.27516256530536687
71.0,14.3125,14.581861870716006,-0.2693618707160059
72.0,14.3125,14.576061176126645,-0.263561176126645
73.0,14.34375,14.570260481537284,-0.22651048153728404
74.0,14.375,14.564459786947923,-0.1894597869479231
75.0,14.378787994384766,14.558659092358562,-0.17987109797379652
76.0,14.409090995788574,14.552858397769201,-0.14376740198062699
77.0,14.411765098571777,14.54705770317984,-0.13529260460806292
78.0,14.416666984558105,14.54125700859048,-0.12459002403237385
79.0,14.472222328186035,14.535456314001118,-0.06323398581508322
80.0,14.5,14.529655619411757,-0.029655619411757428
81.0,14.560606002807617,14.523854924822396,0.036751077985220704
82.0,14.560606002807617,14.518054230233036,0.04255177257458165
83.0,14.560606002807617,14.512253535643675,0.04835246716394259
84.0,14.560606002807617,14.506452841054314,0.054153161753303536
85.0,14.560606002807617,14.500652146464953,0.05995385634266448
86.0,14.621212005615234,14.494851451875592,0.1263605537396426
87.0,14.65999984741211,14.48905075728623,0.17094909012587856
88.0,14.65999984741211,14.48325006269687,0.1767497847152395
89.0,14.65999984741211,14.477449368107509,0.18255047930460044
90.0,14.65999984741211,14.471648673518148,0.1883511738939614
91.0,14.6304349899292,14.465847978928787,0.16458701100041218
92.0,14.539999961853027,14.460047284339426,0.07995267751360124
93.0,14.539999961853027,14.454246589750065,0.08575337210296219
94.0,14.539999961853027,14.448445895160704,0.09155406669232313
95.0,14.539999961853027,14.442645200571343,0.09735476128168408
96.0,14.5,14.436844505981982,0.06315549401801768
