x,y,baseline,residual
5.0,17.10714340209961,16.820848530106847,0.28629487199276227
6.0,17.127906799316406,16.814315318562436,0.3135914807539706
7.0,17.134614944458008,16.807782107018024,0.3268328374399836
8.0,17.12264060974121,16.801248895473613,0.32139171426759816
9.0,17.10869598388672,16.7947156839292,0.3139802999575174
10.0,17.095237731933594,16.78818247238479,0.30705525954880386
11.0,17.078947067260742,16.78164926084038,0.29729780642036374
12.0,17.05555534362793,16.77511604929597,0.28043929433195913
13.0,17.04838752746582,16.76858283775156,0.2798046897142612
14.0,17.066667556762695,16.762049626207148,0.30461793055554764
15.0,17.08823585510254,16.755516414662736,0.33271944043980284
16.0,17.085365295410156,16.748983203118325,0.33638209229183147
17.0,17.0625,16.742449991573913,0.32005000842608666
18.0,17.04166603088379,16.735916780029502,0.30574925085428717
19.0,17.012195587158203,16.729383568485094,0.2828120186731091
20.0,16.97058868408203,16.722850356940683,0.2477383271413487
21.0,16.928571701049805,16.71631714539627,0.21225455565353357
22.0,16.940000534057617,16.70978393385186,0.23021660020575752
23.0,17.0,16.70325072230745,0.29674927769255177
24.0,17.03125,16.696717510763037,0.3345324892369632
25.0,17.011627197265625,16.690184299218625,0.32144289804699966
26.0,17.0,16.683651087674214,0.3163489123257861
27.0,16.964284896850586,16.677117876129806,0.28716702072077993
28.0,16.931371688842773,16.670584664585395,0.2607870242573789
29.0,16.899999618530273,16.664051453040983,0.23594816548929032
30.0,16.899999618530273,16.65751824149657,0.24248137703370176
31.0,16.973684310913086,16.65098502995216,0.3226992809609257
32.0,17.05555534362793,16.64445181840775,0.4111035252201809
33.0,17.115385055541992,16.637918606863337,0.47746644867865484
34.0,17.095745086669922,16.63138539531893,0.4643596913509924
35.0,17.05555534362793,16.624852183774518,0.4307031598534117
36.0,17.009090423583984,16.618318972230107,0.3907714513538778
37.0,16.964284896850586,16.611785760685695,0.3524991361648908
38.0,16.964284896850586,16.605252549141284,0.35903234770930226
39.0,16.981481552124023,16.598719337596872,0.3827622145271512
40.0,17.010204315185547,16.59218612605246,0.4180181891330861
41.0,17.022727966308594,16.585652914508053,0.43707505180054085
42.0,17.036584854125977,16.57911970296364,0.4574651511623351
43.0,17.0238094329834,16.57258649141923,0.4512229415641684
44.0,16.990196228027344,16.56605327987482,0.4241429481525252
45.0,16.973684310913086,16.559520068330407,0.4141642425826788
46.0,16.981481552124023,16.552986856785996,0.42849469533802775
47.0,16.977272033691406,16.546453645241584,0.430818388449822
48.0,16.947368621826172,16.539920433697173,0.4074481881289991
49.0,16.899999618530273,16.533387222152765,0.36661239637750853
50.0,16.85897445678711,16.526854010608353,0.3321204461787559
51.0,16.840909957885742,16.520320799063942,0.32058915882180017
52.0,16.79787254333496,16.51378758751953,0.28408495581543036
53.0,16.755319595336914,16.50725437597512,0.24806521936179493
54.0,16.744443893432617,16.500721164430708,0.2437227290019095
55.0,16.755813598632812,16.494187952886296,0.26162564574651626
56.0,16.774999618530273,16.48765474134189,0.2873448771883851
57.0,16.785715103149414,16.481121529797477,0.30459357335193715
58.0,16.83333396911621,16.474588318253065,0.35874565086314547
59.0,16.83333396911621,16.468055106708654,0.3652788624075569
60.0,16.83333396911621,16.461521895164243,0.37181207395196836
61.0,16.775861740112305,16.45498868361983,0.32087305649247355
62.0,16.66666603088379,16.44845547207542,0.21821055880836937
67.0,16.821428298950195,16.415789414353366,0.4056388845968293
68.0,16.823530197143555,16.409256202808955,0.4142739943346001
69.0,16.8157901763916,16.402722991264543,0.4130671851270584
70.0,16.80769157409668,16.39618977972013,0.411501794376548
71.0,16.774999618530273,16.389656568175724,0.38534305035454963
72.0,16.6842098236084,16.383123356631312,0.3010864669770861
73.0,16.614286422729492,16.3765901450869,0.23769627764259127
74.0,16.53333282470703,16.37005693354249,0.16327589116454178
75.0,16.5,16.363523721998078,0.13647627800192197
76.0,16.462963104248047,16.356990510453667,0.10597259379438029
77.0,16.39285659790039,16.350457298909255,0.04239929899113548
78.0,16.38888931274414,16.343924087364847,0.04496522537929337
79.0,16.39285659790039,16.337390875820436,0.055465722079954816
80.0,16.399999618530273,16.330857664276024,0.06914195425424907
81.0,16.40322494506836,16.324324452731613,0.07890049233674645
82.0,16.40322494506836,16.3177912411872,0.0854337038811579
83.0,16.39655113220215,16.31125802964279,0.0852931025593584
84.0,16.39285659790039,16.30472481809838,0.08813177980201203
85.0,16.351852416992188,16.298191606553967,0.05366081043822035
86.0,16.346153259277344,16.29165839500956,0.05449486426778449
87.0,16.35714340209961,16.285125183465148,0.07201821863446156
88.0,16.439393997192383,16.278591971920736,0.16080202527164644
89.0,16.473684310913086,16.272058760376325,0.201625550536761
90.0,16.4743595123291,16.265525548831913,0.20883396349718808
91.0,16.5,16.258992337287502,0.24100766271249796
92.0,16.5,16.25245912574309,0.2475408742569094
93.0,16.52941131591797,16.24592591419868,0.2834854017192896
94.0,16.5,16.23939270265427,0.26060729734572874
95.0,16.40322494506836,16.23285949110986,0.17036545395849956
96.0,16.338708877563477,16.22632627956545,0.11238259799802819
97.0,16.30645179748535,16.219793068021037,0.08665872946431463
98.0,16.299999237060547,16.213259856476625,0.08673938058392139
99.0,16.25757598876953,16.206726644932214,0.05084934383731721
100.0,16.25757598876953,16.200193433387803,0.05738255538172865
101.0,16.214284896850586,16.193660221843395,0.02062467500719123
102.0,16.16666603088379,16.187127010298983,-0.020460979415194203
103.0,16.147058486938477,16.180593798754572,-0.03353531181609526
104.0,16.136363983154297,16.17406058721016,-0.0376966040558635
105.0,16.112903594970703,16.16752737566575,-0.05462378069504581
