y,x_detected,baseline_x,deflection_x_px,modified_z,confidence
0,166.0,162.96592103504267,3.034078964957331,3.466823189914795,0.44761905
1,165.0,162.9727725532561,2.0272274467438933,2.1866968064243166,0.46666667
2,163.0,162.97962407146954,0.020375928530455667,-0.3648448357548927,0.54285717
3,165.0,162.986475589683,2.0135244103169896,2.169274556820784,0.60952383
4,165.0,162.99332710789645,2.006672892103552,2.160563432019035,0.60952383
5,165.0,163.00017862610989,1.9998213738901143,2.151852307217287,0.6761905
6,164.0,163.00703014432332,0.9929698556766766,0.8717259237268081,0.75238097
7,163.0,163.01388166253676,-0.013881662536761041,-0.4084004597636708,0.73333335
8,163.0,163.02073318075023,-0.02073318075022712,-0.41711158456545533,0.82857144
9,163.0,163.02758469896366,-0.027584698963664778,-0.42582270936720373,0.96190476
10,163.0,163.0344362171771,-0.034436217177102435,-0.4345338341689521,0.7714286
11,165.0,163.04128773539054,1.95871226460946,2.09958555840676,0.5904762
12,164.0,163.04813925360398,0.9518607463960223,0.8194591749162816,0.4857143
13,165.0,163.05499077181742,1.9450092281825846,2.0821633088032634,0.71428573
14,165.0,163.06184229003088,1.9381577099691185,2.073452184001479,0.6952381
15,165.0,163.06869380824432,1.9313061917556809,2.0647410591997306,0.4857143
16,164.0,163.07554532645776,0.9244546735422432,0.7846146757092519,0.552381
17,165.0,163.0823968446712,1.9176031553288055,2.0473188095962342,0.7619048
18,165.0,163.08924836288463,1.9107516371153679,2.0386076847944854,0.75238097
19,165.0,163.0960998810981,1.9039001189019018,2.029896559992701,0.60952383
20,163.0,163.10295139931154,-0.10295139931153585,-0.5216450821865082,0.5809524
21,163.0,163.10980291752497,-0.10980291752497351,-0.5303562069882567,0.7809524
22,163.0,163.1166544357384,-0.11665443573841117,-0.5390673317900051,0.81904763
23,163.0,163.12350595395185,-0.12350595395184882,-0.5477784565917534,0.83809525
24,163.0,163.13035747216531,-0.1303574721653149,-0.5564895813935379,0.8095238
25,163.0,163.13720899037875,-0.13720899037875256,-0.5652007061952863,0.8666667
26,163.0,163.1440605085922,-0.14406050859219022,-0.5739118309970347,0.8666667
27,164.0,163.15091202680563,0.8490879731943721,0.6887923028899474,0.81904763
28,164.0,163.15776354501907,0.8422364549809345,0.680081178088199,0.9142857
29,163.0,163.1646150632325,-0.1646150632325032,-0.6000452054022798,0.94285715
30,163.0,163.17146658144597,-0.17146658144596927,-0.6087563302040644,0.93333334
31,163.0,163.1783180996594,-0.17831809965940693,-0.6174674550058128,0.9142857
32,163.0,163.18516961787284,-0.18516961787284458,-0.6261785798075612,0.8761905
33,163.0,163.19202113608628,-0.19202113608628224,-0.6348897046093095,0.85714287
34,163.0,163.19887265429972,-0.1988726542997199,-0.6436008294110579,0.84761906
35,164.0,163.2057241725132,0.794275827486814,0.6191033044758879,0.84761906
36,164.0,163.21257569072662,0.7874243092733764,0.6103921796741396,0.7904762
37,164.0,163.21942720894006,0.7805727910599387,0.6016810548723912,0.6761905
38,164.0,163.2262787271535,0.773721272846501,0.5929699300706428,0.62857145
39,163.0,163.23313024536694,-0.2331302453669366,-0.687156453419836,0.6666667
40,164.0,163.2399817635804,0.7600182364195973,0.5755476804671099,0.64761907
41,163.0,163.24683328179384,-0.24683328179384034,-0.7045787030233689,0.7047619
42,164.0,163.25368480000728,0.746315199992722,0.5581254308636131,0.7047619
43,163.0,163.26053631822072,-0.26053631822071566,-0.7220009526268657,0.7904762
44,164.0,163.26738783643415,0.7326121635658467,0.5407031812601163,0.5619048
45,162.0,163.2742393546476,-1.274239354647591,-2.010838460919093,0.5714286
46,164.0,163.28109087286106,0.718909127138943,0.5232809316565835,0.7619048
47,164.0,163.2879423910745,0.7120576089255053,0.5145698068548351,0.82857144
48,164.0,163.29479390928793,0.7052060907120676,0.5058586820530867,0.72380954
49,164.0,163.30164542750137,0.69835457249863,0.49714755725133836,0.62857145
50,164.0,163.3084969457148,0.6915030542851923,0.48843643244958984,0.51428574
51,164.0,163.31534846392827,0.6846515360717262,0.4797253076478054,0.51428574
52,162.0,163.3221999821417,-1.3221999821417114,-2.071816334531404,0.5619048
53,163.0,163.32905150035515,-0.3290515003551491,-0.8091122006444218,0.5809524
54,163.0,163.3359030185686,-0.33590301856858673,-0.8178233254461702,0.4857143
55,165.0,163.34275453678202,1.6572454632179756,1.7162960671295422,0.53333336
56,165.0,163.3496060549955,1.6503939450045095,1.7075849423277578,0.5619048
57,164.0,163.35645757320893,0.6435424267910719,0.42745855883727896,0.5904762
58,164.0,163.36330909142237,0.6366909085776342,0.41874743403553055,0.7047619
