y,x_detected,baseline_x,deflection_x_px,modified_z,confidence
0,161.0,159.2033027982567,1.7966972017433136,2.3041695226341563,0.53956836
1,161.0,159.20991234828526,1.7900876517147424,2.2937599906728856,0.5467626
2,161.0,159.21652189831383,1.7834781016861712,2.283350458711615,0.5539568
3,161.0,159.2231314483424,1.7768685516576,2.2729409267503446,0.5683453
4,161.0,159.22974099837097,1.7702590016290287,2.262531394789074,0.5179856
5,160.0,159.23635054839954,0.7636494516004575,0.6771989231007272,0.52517986
6,161.0,159.2429600984281,1.7570399015718863,2.241712330866533,0.53956836
7,161.0,159.24956964845668,1.750430351543315,2.2313027989052623,0.5611511
8,161.0,159.25617919848526,1.7438208015147438,2.220893266943992,0.5539568
9,161.0,159.26278874851383,1.7372112514861726,2.210483734982721,0.50359714
10,161.0,159.2693982985424,1.7306017014576014,2.2000742030214506,0.4388489
11,161.0,159.27600784857097,1.7239921514290302,2.18966467106018,0.4028777
12,159.0,159.28261739859954,-0.28261739859954105,-0.9705907403552433,0.48920864
13,159.0,159.2892269486281,-0.28922694862811227,-0.9810002723165138,0.68345326
14,159.0,159.29583649865668,-0.2958364986566835,-0.9914098042777844,0.62589926
15,159.0,159.30244604868525,-0.3024460486852547,-1.001819336239055,0.5827338
16,159.0,159.30905559871383,-0.30905559871382593,-1.0122288682003255,0.676259
17,159.0,159.3156651487424,-0.31566514874239715,-1.022638400161596,0.7410072
18,159.0,159.32227469877097,-0.32227469877096837,-1.0330479321228665,0.50359714
19,160.0,159.32888424879954,0.6711157512004604,0.5314654756429391,0.4388489
20,160.0,159.33549379882814,0.6645062011718608,0.5210559436816238,0.41007194
21,160.0,159.3421033488567,0.6578966511432895,0.5106464117203533,0.5683453
22,161.0,159.34871289888528,1.6512871011147183,2.075159819486159,0.62589926
23,159.0,159.35532244891385,-0.3553224489138529,-1.0850955919292642,0.68345326
24,160.0,159.36193199894242,0.6380680010575759,0.4794178158365415,0.64028776
25,161.0,159.368541548971,1.6314584510290047,2.0439312236023475,0.66906476
26,161.0,159.37515109899957,1.6248489010004334,2.0335216916410768,0.6978417
27,159.0,159.38176064902814,-0.3817606490281378,-1.1267337197743466,0.74820143
28,159.0,159.3883701990567,-0.388370199056709,-1.1371432517356173,0.8417266
29,159.0,159.39497974908528,-0.3949797490852802,-1.1475527836968877,0.9064748
30,159.0,159.40158929911385,-0.40158929911385144,-1.1579623156581582,0.8417266
31,160.0,159.40819884914242,0.5918011508575773,0.40655109210764756,0.7194245
32,161.0,159.414808399171,1.5851916008290061,1.9710644998734532,0.5827338
33,159.0,159.42141794919957,-0.4214179491995651,-1.1891909115419699,0.4676259
34,161.0,159.42802749922814,1.5719725007718637,1.9502454359509123,0.6115108
35,160.0,159.4346370492567,0.5653629507432925,0.36491296426256525,0.76258993
36,161.0,159.44124659928528,1.5587534007147212,1.929426372028371,0.7338129
37,161.0,159.44785614931385,1.55214385068615,1.9190168400671004,0.6618705
38,160.0,159.45446569934242,0.5455343006575788,0.33368436837875354,0.5971223
39,159.0,159.461075249371,-0.4610752493709924,-1.2516481033095932,0.6115108
40,159.0,159.46768479939956,-0.46768479939956364,-1.2620576352708641,0.7553957
41,159.0,159.47429434942813,-0.47429434942813486,-1.2724671672321346,0.8201439
42,159.0,159.4809038994567,-0.4809038994567061,-1.282876699193405,0.8057554
43,159.0,159.48751344948528,-0.4875134494852773,-1.2932862311546756,0.76978415
44,160.0,159.49412299951385,0.5058770004861515,0.27122717661113016,0.65467626
45,161.0,159.50073254954242,1.4992674504575803,1.8357405843769359,0.66906476
46,161.0,159.507342099571,1.492657900429009,1.8253310524156654,0.65467626
47,161.0,159.51395164959956,1.4860483504004378,1.814921520454395,0.65467626
48,159.0,159.52056119962813,-0.5205611996281334,-1.3453338909610286,0.5683453
49,159.0,159.5271707496567,-0.5271707496567046,-1.355743422922299,0.4964029
50,159.0,159.53378029968528,-0.5337802996852758,-1.3661529548835696,0.6115108
51,159.0,159.54038984971385,-0.5403898497138471,-1.37656248684484,0.676259
52,159.0,159.54699939974242,-0.5469993997424183,-1.3869720188061108,0.7266187
53,159.0,159.553608949771,-0.5536089497709895,-1.3973815507673815,0.82733816
54,159.0,159.56021849979956,-0.5602184997995607,-1.407791082728652,0.8705036
55,159.0,159.56682804982813,-0.566828049828132,-1.4182006146899224,0.8561151
56,159.0,159.5734375998567,-0.5734375998567032,-1.428610146651193,0.8776978
57,159.0,159.58004714988527,-0.5800471498852744,-1.4390196786124636,0.8848921
58,159.0,159.58665669991385,-0.5866566999138456,-1.449429210573734,0.8920863
59,159.0,159.59326624994242,-0.5932662499424168,-1.4598387425350046,0.91366905
60,159.0,159.59987579997102,-0.5998757999710165,-1.4702482744963201,0.81294966
61,160.0,159.6064853499996,0.3935146500004123,0.09426513326948575,0.6906475
62,160.0,159.61309490002816,0.3869050999718411,0.08385560130821518,0.79136693
63,159.0,159.61970445005673,-0.6197044500567301,-1.5014768703801318,0.8417266
64,159.0,159.6263140000853,-0.6263140000853014,-1.5118864023414023,0.8633093
65,159.0,159.63292355011387,-0.6329235501138726,-1.5222959343026727,0.79136693
66,161.0,159.63953310014244,1.3604668998575562,1.6171404131902092,0.66906476
67,161.0,159.64614265017102,1.353857349828985,1.6067308812289387,0.64748204
68,160.0,159.6527522001996,0.34724779980041376,0.02139840954059177,0.7338129
69,160.0,159.65936175022816,0.34063824977184254,0.0109888775793212,0.8201439
70,160.0,159.66597130025673,0.3340286997432713,0.0005793456180506312,0.8345324
