y,x_detected,baseline_x,deflection_x_px,modified_z,confidence
0,163.0,162.32972197647624,0.670278023523764,0.5965321613897813,0.6571429
1,163.0,162.33194799634836,0.6680520036516384,0.5929058260621858,0.6761905
2,163.0,162.3341740162205,0.6658259837795129,0.5892794907345903,0.6666667
3,163.0,162.3364000360926,0.6635999639073873,0.5856531554069948,0.72380954
4,163.0,162.33862605596474,0.6613739440352617,0.5820268200793994,0.6666667
5,165.0,162.34085207583686,2.659147924163136,3.8365343163539465,0.62857145
6,164.0,162.343078095709,1.6569219042910106,2.2038410652252796,0.73333335
7,163.0,162.34530411558111,0.654695884418885,0.571147814096613,0.7809524
8,164.0,162.34753013545324,1.6524698645467595,2.196588394570089,0.7904762
9,163.0,162.34975615532537,0.6502438446746339,0.5638951434414219,0.7904762
10,163.0,162.3519821751975,0.6480178248025084,0.5602688081138264,1.0
11,163.0,162.35420819506962,0.6457918049303828,0.556642472786231,0.8857143
12,164.0,162.35643421494174,1.6435657850582572,2.182083053259707,0.82857144
13,163.0,162.3586602348139,0.6413397651861033,0.5493898021309936,0.8761905
14,163.0,162.36088625468602,0.6391137453139777,0.5457634668033983,0.6857143
15,163.0,162.36311227455815,0.6368877254418521,0.5421371314758028,0.7714286
16,163.0,162.36533829443027,0.6346617055697266,0.5385107961482073,0.7904762
17,163.0,162.3675643143024,0.632435685697601,0.5348844608206118,0.83809525
18,163.0,162.36979033417452,0.6302096658254754,0.5312581254930163,0.5904762
19,163.0,162.37201635404665,0.6279836459533499,0.5276317901654208,0.3904762
20,163.0,162.37424237391878,0.6257576260812243,0.5240054548378253,0.8761905
21,163.0,162.3764683937909,0.6235316062090988,0.5203791195102299,0.9809524
22,163.0,162.37869441366303,0.6213055863369732,0.5167527841826344,0.96190476
23,163.0,162.38092043353515,0.6190795664648476,0.5131264488550389,0.64761907
24,163.0,162.38314645340728,0.6168535465927221,0.5095001135274434,0.5714286
25,163.0,162.3853724732794,0.6146275267205965,0.5058737781998479,0.51428574
26,163.0,162.38759849315153,0.612401506848471,0.5022474428722524,0.63809526
27,163.0,162.38982451302365,0.6101754869763454,0.49862110754465694,0.7714286
28,163.0,162.39205053289578,0.6079494671042198,0.49499477221706145,0.75238097
29,163.0,162.3942765527679,0.6057234472320943,0.49136843688946596,0.61904764
30,162.0,162.39650257264003,-0.3965025726400313,-1.141324814239201,0.43809524
31,165.0,162.39872859251216,2.601271407487843,3.742249597836418,0.45714286
32,165.0,162.40095461238428,2.5990453876157176,3.7386232625088223,0.552381
33,164.0,162.4031806322564,1.596819367743592,2.1059300113801553,0.52380955
34,163.0,162.40540665212853,0.5945933478714664,0.47323676025148853,0.5809524
35,163.0,162.40763267200066,0.5923673279993409,0.46961042492389304,0.8666667
36,163.0,162.40985869187278,0.5901413081272153,0.46598408959629756,0.52380955
37,161.0,162.41208471174494,-1.4120847117449387,-2.795776077333487,0.3904762
38,163.0,162.41431073161706,0.5856892683829358,0.4587314189410603,0.73333335
39,164.0,162.4165367514892,1.5834632485108102,2.084171999414536,0.84761906
