x,y_detected,baseline_y,deflection_y_px,modified_z,confidence
109,17.0,18.392061,-1.3920612,-1.3548802,0.5
110,17.0,18.387768,-1.3877678,-1.3509588,0.4409091
111,17.0,18.383474,-1.3834743,-1.3470374,0.4181818
112,17.0,18.37918,-1.3791809,-1.3431162,0.47272727
113,17.0,18.374887,-1.3748875,-1.3391948,0.51363635
114,20.0,18.370592,1.6294079,1.4047288,0.46363637
115,19.0,18.366299,0.6337013,0.49531662,0.58181816
116,19.0,18.362005,0.63799477,0.49923798,0.54545456
117,19.0,18.357712,0.6422882,0.5031593,0.65909094
118,19.0,18.353418,0.64658165,0.5070807,0.59090906
119,19.0,18.349125,0.6508751,0.511002,0.5590909
120,19.0,18.344831,0.65516853,0.5149234,0.28181818
121,19.0,18.340538,0.659462,0.5188447,0.18181819
122,18.0,18.336245,-0.33624458,-0.39056745,0.19545455
123,17.0,18.331951,-1.3319511,-1.2999796,0.29545453
124,17.0,18.327656,-1.3276558,-1.2960565,0.23181818
125,16.0,18.323362,-2.3233624,-2.2054687,0.15454546
126,18.0,18.319069,-0.3190689,-0.3748803,0.21363637
127,19.0,18.314775,0.68522453,0.5423745,0.3181818
128,17.0,18.310482,-1.310482,-1.2803711,0.3272727
129,17.0,18.306189,-1.3061886,-1.2764498,0.47727272
130,17.0,18.301895,-1.3018951,-1.2725284,0.37727273
131,19.0,18.297602,0.7023983,0.5580599,0.3318182
132,19.0,18.293308,0.70669174,0.56198126,0.24545455
133,17.0,18.289015,-1.2890148,-1.2607645,0.2090909
134,17.0,18.284721,-1.2847214,-1.2568431,0.17272727
135,19.0,18.280426,0.719574,0.573747,0.17272727
136,19.0,18.276133,0.7238674,0.57766837,0.16818182
137,17.0,18.27184,-1.2718391,-1.2450774,0.15454546
138,18.0,18.267546,-0.2675457,-0.32782245,0.12727273
139,16.0,18.263252,-2.2632523,-2.150568,0.11363637
140,21.0,18.258959,2.7410412,2.4200206,0.17727272
141,21.0,18.254665,2.7453346,2.423942,0.24545455
142,19.0,18.250372,0.74962807,0.6011964,0.3409091
143,19.0,18.246078,0.7539215,0.60511774,0.58181816
144,19.0,18.241785,0.75821495,0.60903907,0.50454545
145,17.0,18.237492,-1.2374916,-1.2137065,0.48636365
146,17.0,18.233196,-1.2331963,-1.2097834,0.47727272
147,19.0,18.228903,0.7710972,0.6208049,0.5
148,18.0,18.22461,-0.22460938,-0.28860727,0.5318182
149,18.0,18.220316,-0.22031593,-0.2846859,0.5863636
150,17.0,18.216022,-1.2160225,-1.194098,0.36363637
151,17.0,18.21173,-1.211729,-1.1901767,0.34545454
152,17.0,18.207436,-1.2074356,-1.1862553,0.38636363
153,17.0,18.203142,-1.2031422,-1.1823341,0.46818182
154,17.0,18.198849,-1.1988487,-1.1784127,0.4181818
155,19.0,18.194555,0.8054447,0.6521756,0.39545456
156,18.0,18.190262,-0.19026184,-0.2572365,0.47272727
157,19.0,18.185966,0.8140335,0.66002005,0.5318182
158,19.0,18.181673,0.81832695,0.6639414,0.5
159,17.0,18.17738,-1.1773796,-1.1588043,0.5
160,17.0,18.173086,-1.1730862,-1.1548829,0.5
161,17.0,18.168793,-1.1687927,-1.1509615,0.47727272
162,17.0,18.1645,-1.1644993,-1.1470402,0.4181818
163,17.0,18.160206,-1.1602058,-1.1431189,0.37727273
164,17.0,18.155912,-1.1559124,-1.1391976,0.37272727
165,17.0,18.151619,-1.151619,-1.1352762,0.36818182
166,19.0,18.147326,0.8526745,0.6953121,0.2590909
167,19.0,18.143032,0.8569679,0.6992335,0.22727273
168,18.0,18.138737,-0.13873672,-0.2101769,0.24090908
169,18.0,18.134443,-0.13444328,-0.20625557,0.23181818
170,19.0,18.13015,0.86985016,0.71099925,0.23636363
171,19.0,18.125856,0.8741436,0.71492064,0.21818182
172,17.0,18.121563,-1.121563,-1.1078249,0.19545455
173,17.0,18.11727,-1.1172695,-1.1039037,0.29090908
174,19.0,18.112976,0.8870239,0.7266847,0.4181818
175,19.0,18.108683,0.89131737,0.73060596,0.6136364
176,19.0,18.10439,0.8956108,0.73452735,0.57272726
177,19.0,18.100096,0.89990425,0.7384486,0.47272727
178,19.0,18.095802,0.9041977,0.74237,0.46818182
179,18.0,18.091507,-0.09150696,-0.16704038,0.45454547
180,17.0,18.087214,-1.0872135,-1.0764525,0.45454547
181,17.0,18.08292,-1.0829201,-1.0725312,0.5409091
182,17.0,18.078627,-1.0786266,-1.0686098,0.5
183,17.0,18.074333,-1.0743332,-1.0646884,0.4409091
184,17.0,18.07004,-1.0700397,-1.0607672,0.3090909
185,17.0,18.065746,-1.0657463,-1.0568458,0.22727273
186,16.0,18.061453,-2.0614529,-1.9662579,0.25
187,18.0,18.05716,-0.057159424,-0.13566962,0.3909091
188,17.0,18.052866,-1.052866,-1.0450819,0.53636366
189,17.0,18.04857,-1.0485706,-1.0411587,0.5954546
190,17.0,18.044277,-1.0442772,-1.0372374,0.5318182
191,17.0,18.039984,-1.0399837,-1.033316,0.4909091
192,17.0,18.03569,-1.0356903,-1.0293946,0.45909092
193,17.0,18.031397,-1.0313969,-1.0254734,0.42727274
194,17.0,18.027103,-1.0271034,-1.021552,0.2090909
195,17.0,18.02281,-1.02281,-1.0176306,0.11363637
196,17.0,18.018517,-1.0185165,-1.0137092,0.12727273
197,17.0,18.014223,-1.0142231,-1.0097879,0.1590909
198,17.0,18.00993,-1.0099297,-1.0058665,0.18181819
199,17.0,18.005636,-1.0056362,-1.0019453,0.22727273
