y,x_detected,baseline_x,deflection_x_px,modified_z,confidence
0,73.0,72.68345756111404,0.31654243888596056,0.06349405356816729,0.8429319
1,73.0,72.6740146090469,0.3259853909530932,0.07701130634084924,0.87434554
2,73.0,72.66457165697979,0.33542834302021163,0.09052855911351085,0.7853403
3,73.0,72.65512870491266,0.34487129508734427,0.10404581188619277,0.6701571
4,73.0,72.64568575284554,0.3543142471544627,0.11756306465885438,0.65968585
5,73.0,72.6362428007784,0.36375719922159533,0.13108031743153634,0.82722515
6,73.0,72.62679984871127,0.37320015128872797,0.14459757020421826,0.7905759
7,73.0,72.61735689664415,0.3826431033558464,0.15811482297687987,0.85340315
8,73.0,72.60791394457702,0.39208605542297903,0.17163207574956182,0.6701571
9,73.0,72.5984709925099,0.40152900749009746,0.18514932852222343,0.62827224
10,73.0,72.58902804044277,0.4109719595572301,0.19866658129490536,0.8429319
11,73.0,72.57958508837564,0.42041491162436273,0.2121838340675873,0.8062827
12,73.0,72.57014213630852,0.42985786369148116,0.22570108684024892,0.71727747
13,73.0,72.56069918424139,0.4393008157586138,0.23921833961293085,0.6439791
14,73.0,72.55125623217427,0.4487437678257322,0.25273559238559246,0.69109946
15,73.0,72.54181328010714,0.45818671989286486,0.2662528451582744,0.7329843
16,73.0,72.53237032804002,0.4676296719599833,0.27977009793093605,0.5497382
17,73.0,72.52292737597288,0.4770726240271159,0.29328735070361794,0.4450262
18,73.0,72.51348442390575,0.48651557609424856,0.3068046034762999,0.35602096
19,73.0,72.50404147183863,0.495958528161367,0.32032185624896153,0.33507854
20,73.0,72.4945985197715,0.5054014802284996,0.33383910902164343,0.7015707
21,73.0,72.48515556770438,0.514844432295618,0.34735636179430507,0.9633508
22,73.0,72.47571261563725,0.5242873843627507,0.360873614566987,0.591623
23,71.0,72.46626966357012,-1.4662696635701167,-2.488538580270346,0.39267015
24,73.0,72.456826711503,0.5431732884970017,0.38790812011233056,0.63350785
25,73.0,72.44738375943587,0.5526162405641344,0.4014253728850125,0.8900524
26,73.0,72.43794080736875,0.5620591926312528,0.4149426256576741,0.7382199
27,73.0,72.42849785530161,0.5715021446983855,0.42845987843035604,0.46596858
28,73.0,72.41905490323448,0.5809450967655181,0.44197713120303794,0.6230366
29,73.0,72.40961195116736,0.5903880488326365,0.4554943839756996,0.84816754
30,73.0,72.40016899910023,0.5998310008997692,0.46901163674838153,0.83246076
31,73.0,72.39072604703311,0.6092739529668876,0.4825288895210431,0.87434554
32,73.0,72.38128309496598,0.6187169050340202,0.49604614229372507,0.58638746
33,73.0,72.37184014289885,0.6281598571011529,0.509563395066407,0.43455496
34,73.0,72.36239719083173,0.6376028091682713,0.5230806478390686,0.62827224
35,73.0,72.3529542387646,0.6470457612354039,0.5365979006117506,0.74345547
36,73.0,72.34351128669748,0.6564887133025223,0.5501151533844122,0.69109946
37,73.0,72.33406833463035,0.665931665369655,0.5636324061570941,0.460733
38,73.0,72.32462538256321,0.6753746174367876,0.5771496589297761,0.42408377
39,73.0,72.3151824304961,0.684817569503906,0.5906669117024377,0.38743454
40,73.0,72.30573947842896,0.6942605215710387,0.6041841644751196,0.39267015
41,73.0,72.29629652636184,0.7037034736381571,0.6177014172477812,0.36649215
42,72.0,72.28685357429471,-0.28685357429471026,-0.8002460537845443,0.4973822
43,73.0,72.27741062222759,0.7225893777724082,0.6447359227931247,0.84816754
44,73.0,72.26796767016046,0.7320323298395408,0.6582531755658066,0.8115183
45,73.0,72.25852471809333,0.7414752819066734,0.6717704283384887,0.83246076
46,72.0,72.24908176602621,-0.24908176602620813,-0.7461770426938571,0.82198954
47,73.0,72.23963881395908,0.7603611860409245,0.6988049338838321,0.88481677
48,73.0,72.23019586189196,0.7698041381080429,0.7123221866564937,0.6492147
49,73.0,72.22075290982482,0.7792470901751756,0.7258394394291757,0.34554973
50,73.0,72.21130995775769,0.7886900422423082,0.7393566922018576,0.45549738
51,73.0,72.20186700569057,0.7981329943094266,0.7528739449745192,0.7329843
52,73.0,72.19242405362344,0.8075759463765593,0.7663911977472012,0.52879584
53,73.0,72.18298110155632,0.8170188984436777,0.7799084505198628,0.36649215
54,73.0,72.17353814948919,0.8264618505108103,0.7934257032925447,0.38219896
55,73.0,72.16409519742206,0.835904802577943,0.8069429560652267,0.43455496
56,71.0,72.15465224535494,-1.1546522453549386,-2.0424692387721266,0.58115184
57,71.0,72.1452092932878,-1.145209293287806,-2.0289519859994445,0.68586385
58,71.0,72.13576634122069,-1.1357663412206875,-2.015434733226783,0.66492146
59,71.0,72.12632338915355,-1.126323389153555,-2.001917480454101,0.6492147
60,71.0,72.11688043708642,-1.1168804370864223,-1.988400227681419,0.60209423
61,73.0,72.1074374850193,0.8925625149806962,0.8880464727012573,0.61256546
62,73.0,72.09799453295217,0.9020054670478288,0.9015637254739393,0.4973822
63,73.0,72.08855158088505,0.9114484191149472,0.915080978246601,0.42931938
64,73.0,72.07910862881792,0.9208913711820799,0.9285982310192827,0.539267
65,73.0,72.06966567675079,0.9303343232492125,0.9421154837919647,0.6753927
66,73.0,72.06022272468367,0.9397772753163309,0.9556327365646264,0.7905759
67,73.0,72.05077977261654,0.9492202273834636,0.9691499893373082,0.9528796
68,73.0,72.04133682054942,0.958663179450582,0.9826672421099699,0.947644
69,72.0,72.03189386848229,-0.03189386848228537,-0.4352802289223555,0.6806283
70,72.0,72.02245091641515,-0.022450916415152733,-0.42176297614967356,0.8062827
71,71.0,72.01300796434803,-1.0130079643480343,-1.8397104471820194,0.9895288
